Sectors,Courses,Students Enrollment,Career Opportunity
Pengurusan                                                                                                                                                                                                                                                                   ,Pengurusan Perniagaan,,0
Profesional                                ,Perdagangan,98,0
,Sistem Komputer & Rangkaian,,
,Projek Link Shell*,,
Juruteknik & Profesional Bersekutu,Kejuruteraan Mekanikal,144,2
,Kejuruteraan Awam,158,
,Teknologi Elektrik dan Elektronik,152,
,Teknologi Elektronik,,
,Teknologi Kimpalan,,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,
Pekerja Sokongan Pekeranian                                                                                                                                                                                                                             ,Kerani Audit,,15
Pekerja Perkhidmatan & Jualan                                                                                                                                                                                                                           ,Bakery Dan Pastri,,390
,Pelancongan,,
,Penyediaan & Pembuatan Makanan,,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan                                                                                                                                                                                                 ",,,0
Pekerja Kemahiran & Pertukangan yang Berkaitan                                                                                                                                                                                                    ,Fesyen Dan Membuat Pakaian,,205
,Seni Kulinari,,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),,
Operator Logi & Mesin & Pemasang                                                                                                                                                                                                                       ,Teknologi Pembinaan,,1317
,Teknologi Pemesinan Industri,,
,Teknologi Penyejukbekuan & Penyaman Udara,,
,Pemesin Am,,
Pekerjaan Asas,,,7217
TOTAL,,552,9146
