Sectors,Courses,Student Enrollment,Career Opportunity
Pengurusan,Kesetiausahaan Pentadbiran,298,0
,Pengurusan Perniagaan,904,
,Penyelia Tanaman (AF-010-3),41,
,Penyeliaan Pemasangan & Penyelenggaraan HVAC,28,
,Penyelia Akuakultur (Ternakan Air Tawar) (AF-034-3),8,
Profesional,Perakaunan,86,8
,Sistem Komputer & Rangkaian,157,
,Bioteknologi,42,
,Perbankan,175,
,Sistem Pengurusan Pangkalan Data Dan Aplikasi Web,64,
,Perkhidmatan Terapi Estetik (MP-060-3:2013),5,
Juruteknik & Profesional Bersekutu,Kosmetologi,48,25
,Teknologi Automotif,522,
,Teknologi Elektrik,834,
,Teknologi Elektronik,695,
,Teknologi Kimpalan,721,
,Landskap,71,
,"Troubleshooting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,
Pekerja Sokongan Pekeranian,Kerani Audit,,5
Pekerja Perkhidmatan & Jualan,Bakery Dan Pastri,201,106
,Pelancongan,,
,Penyediaan & Pembuatan Makanan,44,
,Insuran,74,
,Pemasaran,175,
,Pembuat Pakaian Wanita,11,
,Automotif _ Servis Selepas Jualan  (TP-300-3:2013),54,
"Pekerja Mahir Pertanian, Perhutanan & Perikanan",Agroindustri Tanaman,80,50
,Agroindustri Ternakan Poltri,52,
,Agroindustri Ternakan Ruminan,74,
,Akuakultur,88,
,Florikultur,21,
,Herba,24,
,Pemprosesan Hasil Pertanian,73,
,Pekerja Ladang Pertanian,11,
Pekerja Kemahiran & Pertukangan yang Berkaitan,Fesyen Dan Membuat Pakaian,49,42
,Seni Kulinari,190,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),10,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),33,
,Holtikultur Hiasan,31,
,Pembuatan Pakaian Wanita (TA-011-3:2013),5,
Operator Logi & Mesin dan Pemasangan,Teknologi Pembinaan,562,633
,Teknologi Pemesinan Industri,594,
,Teknologi Penyejukbekuan & Penyaman Udara,521,
,Pemesin Am,,
,Mekanisasi Agro,60,
,Teknologi Pemprosesan Kayu Dan Kemasan,75,
Pekerjaan Asas,Pengajian Awal Kanak-Kanak,74,8803
TOTAL,,7885,9672
